disease,step,rr_mean,rr_lci,rr_uci
cancer,2250,0.987692644605506,0.976283486028928,0.999870976935084
cancer,2260,0.987587725147181,0.976072339962928,0.999871086741948
cancer,2270,0.987482805688856,0.975861193896927,0.999871196548812
cancer,2280,0.987377886230531,0.975650047830927,0.999871306355675
cancer,2290,0.987272966772207,0.975438901764926,0.999871416162539
cancer,2300,0.987168047313882,0.975227755698925,0.999871525969403
cancer,2310,0.987063127855557,0.975016609632925,0.999871635776267
cancer,2320,0.986958208397232,0.974805463566924,0.99987174558313
cancer,2330,0.986853288938908,0.974594317500923,0.999871855389994
cancer,2340,0.986748369480583,0.974383171434923,0.999871965196858
cancer,2350,0.986643450022258,0.974172025368922,0.999872075003722
cancer,2360,0.986538530563933,0.973960879302921,0.999872184810585
cancer,2370,0.986433611105609,0.973749733236921,0.999872294617449
cancer,2380,0.986328691647284,0.97353858717092,0.999872404424313
cancer,2390,0.986223772188959,0.973327441104919,0.999872514231177
cancer,2400,0.986118852730635,0.973116295038919,0.99987262403804
cancer,2410,0.98601393327231,0.972905148972918,0.999872733844904
cancer,2420,0.985909013813985,0.972694002906917,0.999872843651768
cancer,2430,0.98580409435566,0.972482856840917,0.999872953458632
cancer,2440,0.985699174897336,0.972271710774916,0.999873063265495
cancer,2450,0.985594255439011,0.972060564708915,0.999873173072359
cancer,2460,0.985489335980686,0.971849418642915,0.999873282879223
cancer,2470,0.985384416522361,0.971638272576914,0.999873392686087
cancer,2480,0.985279497064037,0.971427126510913,0.999873502492951
cancer,2490,0.985174577605712,0.971215980444913,0.999873612299814
cancer,2500,0.985069658147387,0.971004834378912,0.999873722106678
cancer,2510,0.984964738689063,0.970793688312911,0.999873831913542
cancer,2520,0.984859819230738,0.970582542246911,0.999873941720405
cancer,2530,0.984754899772413,0.97037139618091,0.999874051527269
cancer,2540,0.984649980314089,0.970160250114909,0.999874161334133
cancer,2550,0.984545060855764,0.969949104048909,0.999874271140997
cancer,2560,0.984440141397439,0.969737957982908,0.999874380947861
cancer,2570,0.984335221939114,0.969526830929497,0.999874490754724
cancer,2580,0.98423030248079,0.969315716822809,0.999874600561588
cancer,2590,0.984125383022465,0.969104602716122,0.999874710368452
cancer,2600,0.98402046356414,0.968893488609435,0.999874820175316
cancer,2610,0.983915544105815,0.968682374502748,0.999874929982179
cancer,2620,0.983810624647491,0.968471260396061,0.999875039789043
cancer,2630,0.983705705189166,0.968260146289374,0.999875149595907
cancer,2640,0.983600785730841,0.968049032182687,0.999875259402771
cancer,2650,0.983495866272517,0.967837918076,0.999875369209634
cancer,2660,0.983390946814192,0.967626803969312,0.999875479016498
cancer,2670,0.983286027355867,0.967415689862625,0.999875588823362
cancer,2680,0.983181107897542,0.967204575755938,0.999875698630226
cancer,2690,0.983076188439218,0.966993461649251,0.999875808437089
cancer,2700,0.982971268980893,0.966782347542564,0.999875918243953
cancer,2710,0.982866349522568,0.966571233435877,0.999876028050817
cancer,2720,0.982761430064244,0.96636011932919,0.999876137857681
